"Criteria ID","Name"
"1012873","Anchorage"
"1012874","Anderson"
"1012875","Angoon"
"1012876","Atqasuk"
"1012877","Barrow"
"1012878","Bethel"
"1012879","Clear"
"1012880","Cordova"
"1012881","Craig"
"1012882","Delta Junction"
"1012883","Dillingham"
"1012884","Eagle River"
"1012885","Eielson AFB"
"1012886","Elmendorf AFB"
"1012887","Fairbanks"
"1012888","Galena"
"1012890","Glennallen"
"1012891","Gustavus"
"1012892","Haines"
"1012893","Healy"
"1012894","Homer"
"1012895","Hoonah"
"1012896","Juneau"
"1012897","Kenai"
"1012898","Ketchikan"
"1012899","Klawock"
"1012900","Kodiak"
"1012901","Kotzebue"
"1012902","McGrath"
"1012903","Metlakatla"
"1012904","Mountain Village"
"1012905","Nikiski"
"1012906","Nome"
"1012907","North Pole"
"1012908","Palmer"
"1012909","Pelican"
"1012910","Petersburg"
"1012911","Port Lions"
"1012912","Seward"
"1012913","Sitka"
"1012914","Skagway"
"1012915","Soldotna"
"1012917","Tanacross"
"1012918","Thorne Bay"
"1012919","Tok"
"1012920","Tununak"
"1012921","Unalaska"
"1012922","Valdez"
"1012923","Wasilla"
"1012924","Whittier"
"1012925","Wrangell"
"1012926","Yakutat"
"1012927","Abbeville"
"1012928","Adamsville"
"1012929","Addison"
"1012930","Adger"
"1012931","Alabaster"
"1012932","Albertville"
"1012933","Alexander City"
"1012934","Alexandria"
"1012935","Allgood"
"1012936","Alpine"
"1012937","Andalusia"
"1012938","Anniston"
"1012939","Arab"
"1012940","Arlington"
"1012941","Ashford"
"1012942","Ashland"
"1012943","Ashville"
"1012944","Athens"
"1012945","Atmore"
"1012946","Attalla"
"1012947","Auburn"
"1012949","Autaugaville"
"1012950","Axis"
"1012951","Bay Minette"
"1012952","Berry"
"1012953","Bessemer"
"1012954","Birmingham"
"1012955","Blountsville"
"1012956","Boaz"
"1012957","Bremen"
"1012958","Brewton"
"1012959","Brookwood"
"1012960","Brownsboro"
"1012961","Bucks"
"1012962","Buhl"
"1012963","Butler"
"1012964","Calera"
"1012966","Camden"
"1012967","Carrollton"
"1012968","Centre"
"1012969","Centreville"
"1012970","Chapman"
"1012971","Chelsea"
"1012972","Cherokee"
"1012973","Childersburg"
"1012974","Clanton"
"1012975","Clayton"
"1012976","Clio"
"1012977","Coffeeville"
"1012978","Columbia"
"1012979","Columbiana"
"1012980","Cottondale"
"1012981","Cottonwood"
"1012982","Cowarts"
"1012983","Creola"
"1012984","Crossville"
"1012985","Cullman"
"1012986","Daleville"
"1012987","Daphne"
"1012988","Dauphin Island"
"1012989","Deatsville"
"1012990","Decatur"
"1012991","Demopolis"
"1012992","Dixons Mills"
"1012993","Dothan"
"1012994","Eastaboga"
"1012995","Eclectic"
"1012996","Eight Mile"
"1012997","Elba"
"1012998","Elberta"
"1012999","Enterprise"
"1013000","Eufaula"
"1013001","Eutaw"
"1013002","Evergreen"
"1013003","Excel"
"1013004","Fairfield"
"1013005","Fairhope"
"1013006","Fayette"
"1013007","Florence"
"1013008","Foley"
"1013009","Fruitdale"
"1013010","Fort Deposit"
"1013011","Fort Payne"
"1013012","Fort Rucker"
"1013013","Fulton"
"1013014","Fultondale"
"1013015","Gadsden"
"1013016","Gardendale"
"1013017","Geneva"
"1013018","Glenwood"
"1013019","Goodwater"
"1013020","Gordo"
"1013021","Grand Bay"
"1013022","Graysville"
"1013023","Greensboro"
"1013024","Greenville"
"1013025","Grove Hill"
