map_names,state,104th Congress,105th Congress,106th Congress,107th Congress,108th Congress,109th Congress,110th Congress,111th Congress,All Congress,104th Congress_PC,105th Congress_PC,106th Congress_PC,107th Congress_PC,108th Congress_PC,109th Congress_PC,110th Congress_PC,111th Congress_PC,All Congress_PC
alabama,AL,23,39,31,77,168,128,211,513,1190,0.047582381,0.080683167,0.064132774,0.159297535,0.347558258,0.264806292,0.436516622,1.061293968,2.461870997
arizona,AZ,6,9,5,18,58,81,99,196,472,0.009054384,0.013581576,0.00754532,0.027163153,0.087525714,0.122234187,0.14939734,0.295776552,0.712278228
arkansas,AK,7,22,22,65,165,111,214,231,837,0.023653659,0.074340071,0.074340071,0.21964112,0.557550535,0.375079451,0.723126149,0.780570749,2.828301806
california,CA,77,209,104,194,447,854,1027,2047,4959,0.020087382,0.054522895,0.02713101,0.050609768,0.116611167,0.22278733,0.267918721,0.534011316,1.293679589
colorado,CO,4,12,9,13,42,79,147,239,545,0.007592485,0.022777456,0.017083092,0.024675578,0.079721098,0.149951588,0.279023842,0.453651008,1.034476148
connecticut,CT,8,20,4,22,71,142,199,417,883,0.022246446,0.055616115,0.011123223,0.061177727,0.197437209,0.394874419,0.553380347,1.159596005,2.455451492
delaware,DE,15,19,13,24,39,57,139,229,535,0.162030961,0.205239217,0.140426833,0.259249537,0.421280498,0.615717651,1.501486904,2.473672669,5.779104271
district of columbia,DC,5,2,5,15,21,9,44,115,216,0.077345622,0.030938249,0.077345622,0.232036866,0.324851612,0.13922212,0.680641474,1.778949306,3.341330871
florida,FL,67,88,80,92,275,351,586,1064,2603,0.034266087,0.045006204,0.040914731,0.04705194,0.140644387,0.179513381,0.299700402,0.544165917,1.331263048
georgia,GA,6,35,18,27,121,201,228,443,1079,0.006004703,0.035027437,0.01801411,0.027021166,0.121094854,0.201157567,0.228178732,0.443347274,1.079845843
idaho,ID,4,12,9,14,52,58,105,176,430,0.024811802,0.074435407,0.055826556,0.086841309,0.322553432,0.359771136,0.651309815,1.091719309,2.667268766
illinois,IL,8,55,5,25,154,286,305,738,1576,0.006210151,0.042694786,0.003881344,0.019406721,0.119545401,0.222012888,0.236761996,0.572886404,1.223399693
indiana,IN,7,27,19,45,61,121,205,309,794,0.010653028,0.041090249,0.02891536,0.068483749,0.092833526,0.18414519,0.311981521,0.470255073,1.208357696
iowa,IA,12,26,9,34,136,120,265,548,1150,0.038829724,0.084131068,0.029122293,0.110017551,0.440070204,0.388297239,0.857489736,1.773224058,3.721181873
kansas,KS,3,13,16,26,81,87,232,321,779,0.010366429,0.044921193,0.055287622,0.089842385,0.279893585,0.300626443,0.801670515,1.109207912,2.691816084
kentucky,KY,11,32,21,51,170,129,236,436,1086,0.025026762,0.072805125,0.047778363,0.116033167,0.386777224,0.293495658,0.536937794,0.991969822,2.470823915
louisiana,LA,11,33,17,52,75,119,243,419,969,0.023781367,0.071344101,0.036753022,0.112421008,0.162145685,0.257271153,0.525352018,0.905853892,2.094922246
maine,ME,4,7,10,25,53,57,87,203,446,0.030113634,0.052698859,0.075284084,0.188210211,0.399005648,0.429119282,0.654971535,1.528266915,3.357670168
maryland,MD,31,56,55,48,78,144,257,544,1213,0.052287017,0.094453967,0.092767289,0.080960543,0.131560882,0.242881629,0.43347624,0.917552819,2.045940385
massachusetts:martha's vineyard,MA,15,43,15,35,148,177,263,462,1158,0.022412064,0.064247917,0.022412064,0.052294816,0.221132365,0.264462356,0.392958189,0.690291572,1.730211343
massachusetts:main,MA,15,43,15,35,148,177,263,462,1158,0.022412064,0.064247917,0.022412064,0.052294816,0.221132365,0.264462356,0.392958189,0.690291572,1.730211343
massachusetts:nantucket,MA,15,43,15,35,148,177,263,462,1158,0.022412064,0.064247917,0.022412064,0.052294816,0.221132365,0.264462356,0.392958189,0.690291572,1.730211343
michigan:north,MI,8,51,16,42,160,246,295,599,1417,0.011953101,0.076201018,0.023906202,0.062753779,0.239062016,0.36755785,0.440770593,0.894988423,2.117192982
michigan:south,MI,8,51,16,42,160,246,295,599,1417,0.011953101,0.076201018,0.023906202,0.062753779,0.239062016,0.36755785,0.440770593,0.894988423,2.117192982
minnesota,MN,4,35,12,29,53,133,166,301,733,0.007379556,0.064571119,0.022138669,0.053501784,0.097779122,0.245370251,0.306251591,0.55531162,1.352303713
mississippi,MS,11,54,40,53,111,203,348,792,1612,0.036774453,0.180529131,0.133725282,0.177185999,0.371087658,0.678655807,1.163409955,2.647760586,5.38912887
missouri,MO,21,44,27,58,104,162,281,444,1141,0.034744219,0.072797411,0.044671139,0.095960223,0.172066608,0.268026831,0.464910738,0.734592056,1.887769224
montana,MT,2,4,10,14,56,65,106,327,584,0.019701231,0.039402462,0.098506154,0.137908616,0.551634463,0.640290002,1.044165234,3.221151241,5.752759404
nebraska,NE,1,15,8,20,59,41,80,144,368,0.005351841,0.080277611,0.042814726,0.107036814,0.315758602,0.219425469,0.428147257,0.770665063,1.969477382
nevada,NV,6,21,11,25,70,97,248,501,979,0.021504328,0.075265148,0.039424602,0.089601367,0.250883828,0.347653304,0.888845562,1.795611397,3.508789536
new hampshire,NH,0,1,2,8,13,44,63,149,280,0,0.007556586,0.015113171,0.060452685,0.098235613,0.332489766,0.476064893,1.125931255,2.115843969
new jersey,NJ,6,7,14,31,74,224,294,659,1309,0.006742074,0.007865753,0.015731505,0.034834048,0.083152243,0.251704087,0.330361614,0.740504435,1.47089576
new mexico,NM,8,10,16,28,39,85,185,297,668,0.038364024,0.04795503,0.076728048,0.134274083,0.187024616,0.407617752,0.887168049,1.424264382,3.203395983
new york:manhattan,NY,17,42,33,67,193,550,603,1347,2852,0.008650903,0.02137282,0.01679293,0.034094737,0.098213197,0.279882167,0.30685263,0.68545687,1.451316253
new york:main,NY,17,42,33,67,193,550,603,1347,2852,0.008650903,0.02137282,0.01679293,0.034094737,0.098213197,0.279882167,0.30685263,0.68545687,1.451316253
new york:staten island,NY,17,42,33,67,193,550,603,1347,2852,0.008650903,0.02137282,0.01679293,0.034094737,0.098213197,0.279882167,0.30685263,0.68545687,1.451316253
new york:long island,NY,17,42,33,67,193,550,603,1347,2852,0.008650903,0.02137282,0.01679293,0.034094737,0.098213197,0.279882167,0.30685263,0.68545687,1.451316253
north carolina:knotts,NC,8,68,35,53,166,164,328,433,1255,0.004071013,0.034603613,0.017810683,0.026970463,0.084473527,0.083455773,0.166911547,0.220343597,0.638640216
north carolina:main,NC,8,68,35,53,166,164,328,433,1255,0.004071013,0.034603613,0.017810683,0.026970463,0.084473527,0.083455773,0.166911547,0.220343597,0.638640216
north carolina:spit,NC,8,68,35,53,166,164,328,433,1255,0.004071013,0.034603613,0.017810683,0.026970463,0.084473527,0.083455773,0.166911547,0.220343597,0.638640216
north dakota,ND,2,13,4,22,61,30,106,184,422,0.027647489,0.179708678,0.055294978,0.304122379,0.843248414,0.414712335,1.465316916,2.543568987,5.833620176
ohio,OH,25,92,41,73,279,406,417,734,2067,0.021606097,0.079510437,0.035433999,0.063089803,0.241124043,0.350883015,0.360389698,0.634355008,1.7863921
oklahoma,OK,4,17,4,16,111,62,153,219,586,0.010388078,0.044149331,0.010388078,0.041552311,0.288269159,0.161015206,0.397343976,0.56874726,1.521853399
oregon,OR,5,25,14,18,61,93,162,288,666,0.012722436,0.063612179,0.03562282,0.045800769,0.155213718,0.236637308,0.412206923,0.732812307,1.69462846
pennsylvania,PA,50,257,68,108,636,555,549,846,3069,0.039142617,0.201193051,0.053233959,0.084548053,0.497894088,0.434483049,0.429785935,0.662293079,2.402573831
rhode island,RI,2,4,5,16,38,50,86,231,432,0.019020248,0.038040496,0.04755062,0.152161984,0.361384712,0.4755062,0.817870664,2.196838645,4.108373569
