Congress,Agriculture.and.Rural.Development,Commerce..Justice..Science..and.Related.Agencies,Defense.Military.Affairs,Energy.and.Water.Development,Financial.Services.and.General.Government,Interior.and.Environment,"Labor,Health, Human Services, and Educaiton",Transportation.and.Housing.and.Urban.Development,Total.Earmarks
104,Washington,NA,Washington,California,NA,West Virginia,NA,Pennsylvania,California
104,Texas,NA,Maryland,Florida,NA,Delaware,NA,Virginia,Florida
104,Arizona,NA,Virgin Islands,Maryland,NA,Ohio,NA,Florida,Texas
104,Arkansas,NA,New Mexico,Texas,NA,Louisiana,NA,Illinois,Pennsylvania
104,Iowa,NA,Tennessee,Missouri,NA,Massachusetts,NA,Texas,Maryland
105,Arizona,NA,California,California,NA,West Virginia,NA,Pennsylvania,Pennsylvania
105,Arkansas,NA,Georgia,Florida,NA,California,NA,California,California
105,Mississippi,NA,Minnesota,Maryland,NA,Florida,NA,Arkansas,Arkansas
105,Florida,NA,Oklahoma,Ohio,NA,Maryland,NA,Virginia,Washington
105,Kansas,NA,Washington,Arkansas,NA,Alaska,NA,Ohio,Ohio
106,Arkansas,Kentucky,Virginia,California,Michigan,California,Pennsylvania,Pennsylvania,California
106,Arizona,Vermont,District of Columbia,Arkansas,California,Nebraska,California,California,Florida
106,Florida,West Virginia,Georgia,Florida,Kentucky,Utah,Florida,Virginia,Pennsylvania
106,Mississippi,Indiana,Washington,Mississippi,New Mexico,Vermont,Georgia,Washington,Maryland
106,Nevada,Texas,Alabama,Maryland,Virginia,Alaska,Missouri,Arkansas,Texas
107,Arizona,Alabama,Alaska,California,NA,Alabama,Iowa,Pennsylvania,California
107,Arkansas,Delaware,Florida,Arkansas,NA,Florida,Vermont,Washington,Washington
107,Idaho,Florida,Washington,Florida,NA,New Mexico,Florida,California,Pennsylvania
107,New York,Hawaii,Alabama,New Jersey,NA,Virginia,Wisconsin,Alabama,Florida
107,Louisiana,Illinois,California,Ohio,NA,Wyoming,Illinois,Indiana,Texas
108,New York,Pennsylvania,California,California,Florida,Mississippi,Pennsylvania,California,Pennsylvania
108,Arkansas,Alaska,Alabama,Ohio,Iowa,Ohio,New York,Pennsylvania,California
108,Arizona,California,Florida,Arkansas,North Dakota,California,California,Washington,Ohio
108,Idaho,Connecticut,Pennsylvania,Mississippi,California,Florida,Ohio,Florida,Florida
108,Nebraska,Hawaii,Alaska,New Jersey,Kentucky,Massachusetts,Texas,Texas,Texas
109,New York,Mississippi,California,California,Iowa,Ohio,Pennsylvania,California,California
109,Arkansas,Pennsylvania,Idaho,New Jersey,New York,Pennsylvania,Ohio,New York,Pennsylvania
109,Arizona,Alabama,Ohio,Arkansas,District of Columbia,Montana,New York,Pennsylvania,New York
109,Hawaii,Iowa,New York,Mississippi,Florida,California,California,Texas,Ohio
109,Idaho,Ohio,Michigan,Florida,Kentucky,New York,Texas,Florida,Texas
110,Wisconsin,Alabama,Florida,California,Kansas,California,California,Washington,California
110,Mississippi,Nevada,Virginia,New Jersey,Mississippi,West Virginia,New York,California,New York
110,Colorado,Mississippi,California,Louisiana,California,Florida,Pennsylvania,Florida,Florida
110,Texas,Vermont,North Carolina,Mississippi,Illinois,Maine,Texas,Pennsylvania,Texas
110,Hawaii,Iowa,Pennsylvania,Arkansas,Massachusetts,Vermont,Florida,Texas,Pennsylvania
111,California,California,Florida,California,New York,California,California,California,California
111,Texas,New York,California,New Jersey,California,Ohio,Texas,Washington,New York
111,Iowa,Pennsylvania,Texas,Mississippi,Pennsylvania,Pennsylvania,New York,New York,Texas
111,Maryland,Alabama,Virginia,New York,Florida,Wisconsin,Florida,Florida,Florida
111,Mississippi,New Jersey,New York,Texas,Delaware,Texas,Pennsylvania,Texas,Pennsylvania
All,California,California,Florida,California,New York,California,California,California,California
All,Arkansas,New York,California,New Jersey,California,Ohio,New York,Pennsylvania,Pennsylvania
All,Texas,Pennsylvania,Virginia,Arkansas,Pennsylvania,Pennsylvania,Pennsylvania,Washington,New York
All,Mississippi,Alabama,Texas,Mississippi,Florida,Florida,Texas,New York,Florida
All,Wisconsin,Texas,Pennsylvania,Ohio,Illinois,West Virginia,Florida,Florida,Texas
